,Campus,Building,Room,Capacity,Date,Day,SurveyPercentage,Count,LogDate,Module,NoStudents,WeekNo
180,Belfield,Computer Science,B-004,220,2015-11-03 14:00:00,Tue,0.25,80,2015-11-03 14:34:16,STAT40150,0,45/2015
181,Belfield,Computer Science,B-004,220,2015-11-03 14:00:00,Tue,0.25,79,2015-11-03 14:39:00,STAT40150,0,45/2015
182,Belfield,Computer Science,B-004,220,2015-11-03 14:00:00,Tue,0.25,83,2015-11-03 14:44:09,STAT40150,0,45/2015
183,Belfield,Computer Science,B-004,220,2015-11-03 14:00:00,Tue,0.25,83,2015-11-03 14:49:24,STAT40150,0,45/2015
184,Belfield,Computer Science,B-004,220,2015-11-03 14:00:00,Tue,0.25,80,2015-11-03 14:54:50,STAT40150,0,45/2015
185,Belfield,Computer Science,B-002,90,2015-11-03 14:00:00,Tue,0.75,32,2015-11-03 14:04:19,COMP30240,42,45/2015
186,Belfield,Computer Science,B-002,90,2015-11-03 14:00:00,Tue,0.75,46,2015-11-03 14:09:19,COMP30240,42,45/2015
187,Belfield,Computer Science,B-002,90,2015-11-03 14:00:00,Tue,0.75,47,2015-11-03 14:13:37,COMP30240,42,45/2015
188,Belfield,Computer Science,B-002,90,2015-11-03 14:00:00,Tue,0.75,48,2015-11-03 14:18:32,COMP30240,42,45/2015
189,Belfield,Computer Science,B-002,90,2015-11-03 14:00:00,Tue,0.75,48,2015-11-03 14:23:32,COMP30240,42,45/2015
190,Belfield,Computer Science,B-002,90,2015-11-03 14:00:00,Tue,0.75,51,2015-11-03 14:28:46,COMP30240,42,45/2015
191,Belfield,Computer Science,B-002,90,2015-11-03 14:00:00,Tue,0.75,49,2015-11-03 14:34:16,COMP30240,42,45/2015
192,Belfield,Computer Science,B-002,90,2015-11-03 14:00:00,Tue,0.75,46,2015-11-03 14:39:00,COMP30240,42,45/2015
193,Belfield,Computer Science,B-002,90,2015-11-03 14:00:00,Tue,0.75,46,2015-11-03 14:44:09,COMP30240,42,45/2015
194,Belfield,Computer Science,B-002,90,2015-11-03 14:00:00,Tue,0.75,46,2015-11-03 14:49:24,COMP30240,42,45/2015
195,Belfield,Computer Science,B-002,90,2015-11-03 14:00:00,Tue,0.75,51,2015-11-03 14:54:50,COMP30240,42,45/2015
196,Belfield,Computer Science,B-003,90,2015-11-03 14:00:00,Tue,0.5,25,2015-11-03 14:04:19,,,45/2015
197,Belfield,Computer Science,B-003,90,2015-11-03 14:00:00,Tue,0.5,23,2015-11-03 14:09:19,,,45/2015
198,Belfield,Computer Science,B-003,90,2015-11-03 14:00:00,Tue,0.5,24,2015-11-03 14:13:37,,,45/2015
199,Belfield,Computer Science,B-003,90,2015-11-03 14:00:00,Tue,0.5,25,2015-11-03 14:18:32,,,45/2015
200,Belfield,Computer Science,B-003,90,2015-11-03 14:00:00,Tue,0.5,26,2015-11-03 14:23:32,,,45/2015
201,Belfield,Computer Science,B-003,90,2015-11-03 14:00:00,Tue,0.5,27,2015-11-03 14:28:46,,,45/2015
